,freesound_id,id,path,start_sample,end_sample,loudness,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12
26,,None_f26,518488__cyclez__dark-techno-kick-drum-loop.wav,106496,110592,0.01095870602875948,-1015.1566,222.81128,98.87134,90.85791,45.664406,33.097717,29.539902,13.001751,20.308224,7.220318,3.7496452,7.3384514,2.3937798
27,,None_f27,518488__cyclez__dark-techno-kick-drum-loop.wav,110592,114688,0.009849944151937962,-909.9343,196.82483,27.35104,111.149734,29.176506,45.01728,31.678185,8.335457,20.433437,-3.0957413,3.1876144,5.737793,11.159443
28,,None_f28,518488__cyclez__dark-techno-kick-drum-loop.wav,114688,118784,0.006267264485359192,-832.8605,188.25407,-5.025303,100.25595,13.060841,40.955517,21.419582,6.810753,18.708649,3.045639,1.3544235,8.296516,8.654945
29,,None_f29,518488__cyclez__dark-techno-kick-drum-loop.wav,118784,122880,0.0024537239223718643,-886.5994,161.86188,-5.601269,98.53627,17.885494,44.983665,33.225033,10.998884,18.916828,-4.4191513,-1.768898,2.3878632,-4.7690887
30,,None_f30,518488__cyclez__dark-techno-kick-drum-loop.wav,122880,126976,0.002050446579232812,-1054.5035,196.315,96.879944,85.7628,43.386284,28.49186,25.260178,7.5041504,15.272526,6.8199577,-2.0679703,7.370228,5.263439
31,,None_f31,518488__cyclez__dark-techno-kick-drum-loop.wav,126976,131072,0.009679983370006084,-924.79596,219.04544,54.87768,102.137695,32.4087,45.281136,31.031288,7.4632263,19.588665,2.3042793,1.8491249,8.546368,5.933689
32,,None_f32,518488__cyclez__dark-techno-kick-drum-loop.wav,131072,135168,0.010688581503927708,-868.31665,197.818,2.670189,106.516525,21.1576,47.356712,33.150963,8.131325,23.626892,-3.5474548,-1.5226479,4.4267235,9.562645
33,,None_f33,518488__cyclez__dark-techno-kick-drum-loop.wav,135168,139264,0.007026671431958675,-859.95856,171.68698,-3.7612839,103.86386,16.56026,47.257965,32.298073,12.356401,21.619957,1.1361275,5.542492,14.8679085,6.7816505
34,,None_f34,518488__cyclez__dark-techno-kick-drum-loop.wav,139264,143360,0.0028042434714734554,-1023.50903,147.8455,73.56859,104.75488,56.539024,44.996727,23.912914,10.739773,13.914177,7.7478485,-6.441677,7.0296326,4.0869904
35,,None_f35,518488__cyclez__dark-techno-kick-drum-loop.wav,143360,147456,0.002139853546395898,-982.74225,205.8829,58.30537,84.52055,21.279854,16.722092,19.91433,-1.5225601,19.117733,5.168621,3.157669,9.798752,2.614071
