,name,username,license,tags,freesound_id,path
0,Kick Drum E-1,Rob10,http://creativecommons.org/publicdomain/zero/1.0/,"['Basic', 'Drum', 'Kick', 'one', 'sample', 'shot']",132584,files/132584_2409787-hq.ogg
1,Clicky Sub Kick Drum,TheEndOfACycle,http://creativecommons.org/publicdomain/zero/1.0/,"['1-hit', 'drum', 'drums', 'hit', 'kick', 'layered', 'one-shot', 'percussion', 'sample', 'single', 'sub']",673512,files/673512_3130497-hq.ogg
2,Lo fi kick drum 01.wav,johnnypanic,http://creativecommons.org/publicdomain/zero/1.0/,"['drum', 'drums', 'kick', 'lofi', 'percussion', 'sample']",647617,files/647617_24119-hq.ogg
3,Subby Kick Drum,Mattc90,http://creativecommons.org/publicdomain/zero/1.0/,"['amazing', 'awesome', 'beat', 'bpm', 'campbell', 'cool', 'dance', 'dark', 'deep', 'drum', 'drums', 'dubstep', 'garage', 'groove', 'house', 'kick', 'kickdrum', 'loop', 'loops', 'lowend', 'matt', 'one', 'sample', 'shot', 'sick', 'snappy', 'sub', 'techno']",400707,files/400707_1126957-hq.ogg
4,Fractanimal_Acoustic_Drum_Kit_Kick_7.wav,johnnydekk,http://creativecommons.org/publicdomain/zero/1.0/,"['drum', 'kick', 'kit', 'percussion']",581461,files/581461_5790048-hq.ogg
5,80's Reflecter Kick.wav,Walter_Odington,http://creativecommons.org/publicdomain/zero/1.0/,"['bass', 'dance', 'drum', 'electro', 'electronic', 'kick', 'music', 'techno']",25634,files/25634_48671-hq.ogg
6,Big Vintage Kick Drum,mccaslinmusic,http://creativecommons.org/publicdomain/zero/1.0/,"['Drum', 'Kick', 'Ludwig', 'Vintage']",465547,files/465547_5137552-hq.ogg
7,DW Kick [5],YellowTree,https://creativecommons.org/licenses/by/4.0/,"['808', 'acoustic', 'bass', 'bass-drum', 'beat', 'beats', 'clap', 'crash', 'drop', 'drum', 'drums', 'edm', 'hi-hat', 'hip-hop', 'kick', 'kick-drum', 'loop', 'metal', 'multisample', 'one-shot', 'percussion', 'punch', 'rap', 'reverb', 'rock', 'room', 'sample', 'samples', 'snare', 'tom']",431636,files/431636_1954411-hq.ogg
8,SMG_Sound_Drum_Kick_0026216281.wav,stoltingmediagroup,https://creativecommons.org/licenses/by/4.0/,"['drum', 'drumkick', 'kick']",599886,files/599886_2871314-hq.ogg
9,Moog Model 15 App Kick Drum session 01 2021 by Ama Zeus_3.wav,AmaZeuSamples,https://creativecommons.org/licenses/by/4.0/,"['808', 'Analog', 'Drum', 'Kick', 'Moog', 'Moog-Model-15-app', 'SSL2', 'Sample', 'Solid-State-Logic', 'Synth']",564190,files/564190_7724104-hq.ogg
10,kik0025.wav,winstonsmith84,http://creativecommons.org/licenses/by/3.0/,"['bass', 'drum', 'kick']",58481,files/58481_723873-hq.ogg
11,Kick-HingHon.wav,d33ko,https://creativecommons.org/licenses/by-nc/4.0/,"['drum', 'homekeyboard', 'kick', 'lo-fi']",98259,files/98259_1651335-hq.ogg
12,kick2-high-vol.wav,ltibbits,http://creativecommons.org/licenses/sampling+/1.0/,"['22inch', 'drum', 'hard', 'hit', 'kick', 'metal']",16290,files/16290_49141-hq.ogg
13,Kick.aiff,AsdfgOrt,http://creativecommons.org/licenses/by/3.0/,"['Drum', 'Kick', 'Single']",509486,files/509486_11130100-hq.ogg
14,kriminal kick.wav,shpira,http://creativecommons.org/publicdomain/zero/1.0/,"['distortion', 'drum', 'hardcore', 'kick']",323619,files/323619_656142-hq.ogg
15,[SFX] short metallic hit,waveplaySFX,https://creativecommons.org/licenses/by/4.0/,"['bounce', 'brief', 'dark', 'enormous', 'hit', 'impact', 'metal', 'metallic', 'percussion', 'pluck', 'quick', 'reverb', 'reverbed', 'reverberated', 'reverberation', 'short', 'splash', 'techno', 'wall', 'wow']",366400,files/366400_1676145-hq.ogg
16,[Perc] custom tom,waveplaySFX,http://creativecommons.org/publicdomain/zero/1.0/,"['acid', 'ambient', 'club', 'dance', 'dark', 'drop', 'dry', 'dub', 'echo', 'effect', 'electro', 'electronic', 'fx', 'glitch-hop', 'house', 'kick', 'minimal', 'panning', 'percussion', 'rave', 'raw', 'record', 'reverb', 'rip', 'sound', 'stereo', 'techno', 'tom', 'toms', 'trance']",196758,files/196758_1676145-hq.ogg
17,metal tube 4.ogg,adharca,http://creativecommons.org/publicdomain/zero/1.0/,"['clang', 'industrial', 'iron', 'metal', 'metallic', 'steel', 'ting', 'tribal']",278173,files/278173_4366671-hq.ogg
18,dropping_a_file_on_end_01.wav,joedeshon,https://creativecommons.org/licenses/by/4.0/,"['bang', 'clang', 'crash', 'file', 'hit', 'hum', 'industrial', 'metal', 'metallic', 'steel', 'tool']",78567,files/78567_1218676-hq.ogg
19,undustrial.wav,NoiseCollector,http://creativecommons.org/licenses/by/3.0/,"['bang', 'boing', 'clang', 'industrial', 'metal']",67407,files/67407_4948-hq.ogg
20,small-metal-hit-10.wav,newagesoup,http://creativecommons.org/publicdomain/zero/1.0/,"['bell', 'blacksmith', 'clang', 'factory', 'hammer', 'hit', 'impact', 'industrial', 'industry', 'iron', 'lock', 'metal', 'metallic', 'nails', 'percussion', 'pipe', 'rod', 'rumble', 'scrape', 'shield', 'shiny', 'steel', 'ting']",337873,files/337873_4067257-hq.ogg
21,Deep metal clang,BlenderDiplom,http://creativecommons.org/publicdomain/zero/1.0/,"['bang', 'boom', 'clang', 'deep', 'hit', 'industrial', 'metal']",201094,files/201094_2780645-hq.ogg
22,roller conveyor 3 at the USS North Carolina,ChrisReierson,http://creativecommons.org/publicdomain/zero/1.0/,"['clang', 'clank', 'industrial', 'metal', 'roll', 'rolling', 'sfx', 'sound-effect', 'spin', 'spinning']",433742,files/433742_7137750-hq.ogg
23,shing.wav,copyc4t,https://creativecommons.org/licenses/by/4.0/,"['Audacity', 'Power-Station-Industrializer', 'arcade', 'clang', 'hit', 'impact', 'industrial', 'iron', 'metal', 'metallic', 'percussion', 'request', 'retro', 'rod', 'scrape', 'shing', 'steel', 'ting', 'videogame']",209942,files/209942_1904290-hq.ogg
24,Tube Rock Rattle.wav,datasoundsample,https://creativecommons.org/licenses/by/4.0/,"['clang', 'clatter', 'hollow', 'industrial', 'metal', 'plastic', 'rattle', 'rocks', 'tube']",638643,files/638643_433684-hq.ogg
25,Toolbox,Breviceps,http://creativecommons.org/publicdomain/zero/1.0/,"['box', 'clang', 'industrial', 'iron', 'metal', 'metallic', 'sound', 'tool', 'toolbox', 'tools']",457041,files/457041_9159316-hq.ogg
26,Scaff03.wav,skinnytecboy,https://creativecommons.org/licenses/by/4.0/,"['clang', 'hit', 'metal', 'scaffold', 'steel', 'ting']",241648,files/241648_3250088-hq.ogg
27,E_distorto.wav,spinozz,http://creativecommons.org/publicdomain/zero/1.0/,"['EDM', 'ableton', 'bass', 'dark', 'deep', 'distorted', 'dnb', 'dub', 'fat', 'fm', 'howling', 'low', 'operator', 'rolling', 'sub', 'synthesized', 'techno']",339946,files/339946_4316474-hq.ogg
