,freesound_id,id,path,start_sample,end_sample,loudness,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12
68,,None_f68,213524__garzul__120-bpm-distorded-drum-loop.wav,278528,282624,0.0031185068655759096,-654.9027,116.47177,-39.399933,7.135927,-32.070526,-2.105301,-2.9043198,28.003937,30.16539,3.1541023,-11.362368,-11.550491,-8.134956
69,,None_f69,213524__garzul__120-bpm-distorded-drum-loop.wav,282624,286720,0.002805714961141348,-691.8714,183.89908,-37.138966,4.08535,-21.838303,-5.5461273,-9.988489,15.802834,20.49667,13.622448,1.69413,-3.4268417,-7.9222393
70,,None_f70,213524__garzul__120-bpm-distorded-drum-loop.wav,286720,290816,0.013521375134587288,-540.0321,102.86527,3.022625,46.513496,32.421272,39.134125,5.3618984,3.9415073,3.7612495,7.0261097,6.168545,-1.1884823,2.617815
71,,None_f71,213524__garzul__120-bpm-distorded-drum-loop.wav,290816,294912,0.00961969792842865,-515.18524,59.69281,-41.772953,15.891148,24.019066,35.214237,5.0479336,5.598612,19.147486,7.352865,2.9022522,-0.5904732,5.5453243
72,,None_f72,213524__garzul__120-bpm-distorded-drum-loop.wav,294912,299008,0.0059347003698349,-573.4498,38.91707,-68.005844,-6.993225,16.326756,32.626556,-16.084625,-15.037619,11.618782,-3.1287403,-0.093839645,-6.3669434,-6.5021286
73,,None_f73,213524__garzul__120-bpm-distorded-drum-loop.wav,299008,303104,0.0008060430409386754,-802.755,165.99513,-41.242954,-0.54584885,-9.380337,-10.530979,12.246292,25.358616,25.08096,34.040497,-28.442863,-12.432327,-3.7666512
74,,None_f74,213524__garzul__120-bpm-distorded-drum-loop.wav,303104,307200,0.0007302511367015541,-783.425,151.8157,-60.086227,-19.720646,-19.729862,12.959099,4.5444946,5.4720154,20.304546,14.13378,-8.970381,-2.7167854,-10.44495
75,,None_f75,213524__garzul__120-bpm-distorded-drum-loop.wav,307200,311296,0.011014425195753574,-575.37024,147.05603,8.361639,41.53614,11.410187,18.917294,-0.12448692,-5.026394,-2.2134132,-3.6976662,-7.56575,-5.4125557,-8.47809
76,,None_f76,213524__garzul__120-bpm-distorded-drum-loop.wav,311296,315392,0.011358849704265594,-685.0426,195.26517,21.060852,49.68486,15.762627,25.79247,2.601612,11.636555,6.577076,6.575491,4.684082,3.1077003,1.2173691
77,,None_f77,213524__garzul__120-bpm-distorded-drum-loop.wav,315392,319488,0.0008618176798336208,-767.40125,156.79933,-14.688648,-4.305622,-20.289783,-9.676243,-2.1226387,4.6330013,8.267895,10.641075,-8.402575,7.848522,13.369362
78,,None_f78,213524__garzul__120-bpm-distorded-drum-loop.wav,319488,323584,0.0050396970473229885,-532.71454,-1.2700939,-34.576042,37.5269,-0.7565117,13.652967,0.064437866,7.674449,-1.023962,-7.5873547,5.5589542,-2.889511,-3.206274
79,,None_f79,213524__garzul__120-bpm-distorded-drum-loop.wav,323584,327680,0.0007142084068618715,-761.2593,148.48659,-15.310783,27.190815,-41.48484,-8.726318,5.602314,13.707863,-1.1941605,-5.1508293,-2.1579895,-9.7963295,-0.5607567
80,,None_f80,213524__garzul__120-bpm-distorded-drum-loop.wav,327680,331776,0.003594463923946023,-773.3912,117.58131,-18.988289,22.325562,-11.741432,-6.0839157,5.039444,-0.48347473,-5.1515007,15.931871,4.9127197,-15.76627,-0.045425415
81,,None_f81,213524__garzul__120-bpm-distorded-drum-loop.wav,331776,335872,0.014656064100563526,-600.83466,160.29,14.284798,34.7508,7.3890533,21.637878,9.320608,16.109562,11.054174,8.395451,2.966875,4.596798,2.2626915
82,,None_f82,213524__garzul__120-bpm-distorded-drum-loop.wav,335872,339968,0.007376686669886112,-564.975,96.10569,-35.89829,-0.89380264,-28.646303,-5.8628025,1.1697731,26.327982,21.833658,11.592173,3.552311,4.0135155,-1.8715267
83,,None_f83,213524__garzul__120-bpm-distorded-drum-loop.wav,339968,344064,0.0059876758605241776,-578.6438,107.27955,-42.246433,-4.7231655,-29.3912,-11.231049,-13.430565,14.318197,21.213411,14.903101,0.107481,0.62005615,-5.996813
84,,None_f84,213524__garzul__120-bpm-distorded-drum-loop.wav,344064,348160,0.005654527805745602,-596.0283,122.85606,-36.042908,2.336626,-27.216127,-11.551352,-13.302412,12.089512,23.759693,18.790564,2.4170246,-2.5374947,-5.6906357
85,,None_f85,213524__garzul__120-bpm-distorded-drum-loop.wav,348160,352256,0.005286987405270338,-613.5633,127.58179,-44.336494,-0.45989227,-29.307697,-8.710442,-5.9587727,17.026772,23.833055,16.00026,-2.5061874,-4.139803,-5.689533
