,freesound_id,id,path,start_sample,end_sample,loudness,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12
20,,None_f20,acid_bass_trimmed.wav,81920,86016,0.01970103569328785,-803.7454,234.15756,40.812927,44.499897,19.277905,22.737709,14.338615,15.239382,8.80167,9.053387,5.8764,6.07386,3.2859688
21,,None_f21,acid_bass_trimmed.wav,86016,90112,0.028834551572799683,-837.713,279.12598,47.074856,44.273678,26.011196,19.293957,16.672485,13.727133,11.283215,9.76878,7.995884,6.82526,5.408474
22,,None_f22,acid_bass_trimmed.wav,90112,94208,0.0192104522138834,-875.59467,271.07925,43.247402,53.939636,26.905441,20.635418,18.81279,12.278786,11.353863,6.3381615,5.4232216,6.021633,7.252186
23,,None_f23,acid_bass_trimmed.wav,94208,98304,0.03176967427134514,-849.71356,314.66245,34.17761,46.54857,26.844002,8.028275,17.540955,12.527813,18.055721,4.257679,6.2712936,12.068813,2.419239
24,,None_f24,acid_bass_trimmed.wav,98304,102400,0.021459950134158134,-851.82,267.30008,49.833538,59.759094,24.00909,20.2905,16.024662,12.32432,14.19928,6.945225,7.61055,3.4847145,2.1813927
25,,None_f25,acid_bass_trimmed.wav,102400,106496,0.009674802422523499,-944.8674,287.55554,65.39534,34.757416,41.878456,13.221695,14.488541,17.643291,9.144543,9.775486,6.6032257,3.0907898,2.975315
26,,None_f26,acid_bass_trimmed.wav,106496,110592,0.01995426043868065,-711.2656,202.48134,43.267036,48.270836,16.1678,16.135094,5.548649,13.194214,13.816013,13.2705,3.2931595,5.1788063,6.844082
27,,None_f27,acid_bass_trimmed.wav,110592,114688,0.023001117631793022,-821.42053,278.22882,23.767384,65.40614,19.215343,17.930721,7.104538,10.818775,15.477089,11.890421,4.2225113,3.9870262,8.125706
28,,None_f28,acid_bass_trimmed.wav,114688,118784,0.010479702614247799,-822.3142,224.61829,52.16155,50.569584,20.114632,17.470535,7.911583,15.104059,11.753033,10.017038,5.1559105,6.415344,3.7945938
29,,None_f29,acid_bass_trimmed.wav,118784,122880,0.008824651129543781,-864.82996,262.04575,4.9981766,46.80957,8.033352,3.3266983,10.385345,6.3350296,11.661785,2.2255516,8.021103,4.4179153,2.509945
30,,None_f30,acid_bass_trimmed.wav,122880,126976,0.03442956134676933,-833.71234,300.501,40.565998,31.910755,31.165897,12.059761,18.828526,13.805439,11.772137,11.427811,7.88509,5.8094254,7.312664
